,id,questionnaire,code,text,latent_variable,answers,participant,created,given_answer,reverse_coded,personal_goal,goal
21,13624,big_five,sicher5,Ich träume oft von einem ruhigen Leben ohne böse Überraschungen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
22,13623,big_five,sicher4,Tief in meinem Innersten gibt es eine Sehnsucht nach Ruhe und Geborgenheit.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
23,13622,big_five,sicher3,Für ein sicheres Leben ohne böse Überraschungen würde ich auf vieles verzichten.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
24,13621,big_five,sicher2,"Wenn ich die Wahl hätte, würde ich ein Leben in Sicherheit und Frieden wählen.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
25,13620,big_five,sicher1,Ich habe schon immer ein starkes Bedürfnis nach Sicherheit und Ruhe verspürt.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
26,13619,big_five,macht6,"Ich kann Menschen verstehen, die sagen, dass andere Dinge wichtiger sind als Einfluss und Politik.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft zu,0,,
27,13618,big_five,macht5,"Am glücklichsten bin ich dann, wenn ich Verantwortung übernehmen kann und wichtige Entscheidungen treffen darf.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
28,13617,big_five,macht4,Für mehr Einfluss würde ich auf vieles verzichten.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
29,13616,big_five,macht3,Tief in meinem Innersten gibt es eine Sehnsucht nach Einfluss und Macht.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
30,13615,big_five,macht2,"Wenn ich die Wahl hätte, würde ich in meinem Leben gerne weltbewegende Entscheidungen treffen.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
31,13614,big_five,macht1,"Ich träume oft davon, wichtige Entscheidungen für Politiker oder andere mächtige Menschen zu treffen.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
32,13613,big_five,leistung6,"Ich träume oft davon, berühmt zu sein.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
33,13612,big_five,leistung5,Tief in meinem Innersten gibt es eine Sehnsucht danach der Beste sein zu wollen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
34,13611,big_five,leistung4,"Am glücklichsten bin ich dann, wenn viele Menschen mich bewundern und das toll finden, was ich mache.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
35,13610,big_five,leistung3,Für mehr Anerkennung würde ich auf vieles verzichten.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
36,13609,big_five,leistung2,Ich habe schon immer ein starkes Bedürfnis nach Anerkennung und Bewunderung verspürt.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
37,13608,big_five,leistung1,Ich habe schon immer ein starkes Bedürfnis verspürt nach meinen eigenen Maßstäben der Beste zu sein.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
38,13607,big_five,vertrag10,"Ich komme immer gut mit anderen aus, auch wenn sie nicht meiner Meinung sind.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
39,13606,big_five,vertrag9,Ich kann mich gut in andere Menschen hinein versetzen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
40,13605,big_five,vertrag8,"Es fällt mir sehr leicht, meine Bedürfnisse für andere zurückzustellen.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
41,13604,big_five,vertrag7,Ich würde meine schlechte Laune nie an anderen auslassen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
42,13603,big_five,vertrag6,"Wenn mir jemand hilft, erweise ich mich immer als dankbar.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
43,13602,big_five,vertrag5,Ich bin ein Egoist.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
44,13601,big_five,vertrag4,Ich habe immer wieder Streit mit anderen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
45,13600,big_five,vertrag3,"Ich helfe anderen, auch wenn man mir es nicht dankt.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
46,13599,big_five,vertrag2,Ich bin ein höflicher Mensch.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
47,13598,big_five,vertrag1,"Ich achte darauf, immer freundlich zu sein.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
48,13597,big_five,offen10,Ich habe viele Ideen und viel Fantasie.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
49,13596,big_five,offen9,"Ich lese viel über wissenschaftliche Themen, neue Entdeckungen oder historische Begebenheiten.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
50,13595,big_five,offen8,Ich interessiere mich sehr für philosophische Fragen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
51,13594,big_five,offen7,"Ich beschäftige mich viel mit Kunst, Musik und Literatur.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
52,13593,big_five,offen6,Ich lerne immer wieder gerne neue Dinge.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft zu,0,,
53,13592,big_five,offen5,Ich diskutiere gerne.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
54,13591,big_five,offen4,"Am liebsten ist es mir, wenn alles so bleibt, wie es ist.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
55,13590,big_five,offen3,"Ich reise viel, um andere Kulturen kennenzulernen.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
56,13589,big_five,offen2,Ich bin ein neugieriger Mensch.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft zu,0,,
57,13588,big_five,offen1,Ich will immer neue Dinge ausprobieren.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft zu,0,,
58,13587,big_five,gewissen10,Ich mache eigentlich nie Flüchtigkeitsfehler.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
59,13586,big_five,gewissen9,"Wenn ich mich einmal entschieden habe, dann weiche ich davon auch nicht mehr ab.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft zu,0,,
60,13585,big_five,gewissen8,"Ich achte sehr darauf, dass Regeln eingehalten werden.",,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
61,13584,big_five,gewissen7,Auch kleine Schlampereien stören mich.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
62,13583,big_five,gewissen6,Auch kleine Bußgelder sind mir sehr unangenehm.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
63,13582,big_five,gewissen5,Ich habe meine festen Prinzipien und halte daran auch fest.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
64,13581,big_five,gewissen4,Ich gehe immer planvoll vor.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
65,13580,big_five,gewissen3,Ich war schon als Kind sehr ordentlich.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
66,13579,big_five,gewissen2,Meine Aufgaben erledige ich immer sehr genau.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
67,13578,big_five,gewissen1,Ich bin sehr pflichtbewusst.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
68,13577,big_five,extra10,Ich bin sehr kontaktfreudig.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
69,13576,big_five,extra9,Ich bin ein gesprächiger und kommunikativer Mensch.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
70,13575,big_five,extra8,Ich bin in vielen Vereinen aktiv.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
71,13574,big_five,extra7,Ich gehe gerne auf Partys.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher nicht zu,0,,
72,13573,big_five,extra6,Ich bin ein Einzelgänger.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
73,13572,big_five,extra5,Im Grunde bin ich oft lieber für mich allein.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft eher zu,0,,
74,13571,big_five,extra4,Ich stehe gerne im Mittelpunkt.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:05,trifft nicht zu,0,,
75,13570,big_five,extra3,Ich bin unternehmungslustig.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher zu,0,,
76,13569,big_five,extra2,Ich kann schnell gute Stimmung verbreiten.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
77,13568,big_five,extra1,Ich bin gerne mit anderen Menschen zusammen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
78,13567,big_five,neuro10,Ich bin mir in meinen Entscheidungen oft unsicher.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft nicht zu,0,,
79,13566,big_five,neuro9,Oft werde ich von meinen Gefühlen hin-und her gerissen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft nicht zu,0,,
80,13565,big_five,neuro8,Ich bin oft nervös.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
81,13564,big_five,neuro7,Ich bin oft ohne Grund traurig.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
82,13563,big_five,neuro6,Oft überwältigen mich meine Gefühle.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft nicht zu,0,,
83,13562,big_five,neuro5,Ich grübele viel über meine Zukunft nach.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft nicht zu,0,,
84,13561,big_five,neuro4,Ich mache mir oft unnütze Sorgen.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher zu,0,,
85,13560,big_five,neuro3,Ich verspüre oft eine große innere Unruhe.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
86,13559,big_five,neuro2,Ich fühle mich oft unsicher.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft eher nicht zu,0,,
87,13558,big_five,neuro1,Ich bin ein ängstlicher Typ.,,"trifft nicht zu,trifft eher nicht zu,trifft eher zu,trifft zu",552,2021-09-22 11:42:04,trifft nicht zu,0,,
88,13557,sus,sus_10,"10. Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
89,13556,sus,sus_9,9. Ich fühlte mich bei der Benutzung des Systems sehr sicher.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher zu,0,,
90,13555,sus,sus_8,8. Ich empfand das System als sehr umständlich zu nutzen.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
91,13554,sus,sus_7,"7. Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit dem System sehr schnell lernen.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,teils - teils,0,,
92,13553,sus,sus_6,"6. Ich denke, das System enthielt zu viele Inkonsistenzen.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
93,13552,sus,sus_5,"5. Ich fand, die verschiedenen Funktionen waren in dem System gut integriert.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher zu,0,,
94,13551,sus,sus_4,"4. Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
95,13550,sus,sus_3,3. Ich empfand das System als einfach zu benutzen.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft zu,0,,
96,13549,sus,sus_2,2. Ich empfand das System als unnötig komplex.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
97,13548,sus,sus_1,"1. Ich denke, dass ich das System gerne benutzen würde.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",542,2021-09-20 18:14:16,trifft eher nicht zu,0,,
98,13547,sus,sus_10,"10. Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher nicht zu,0,,
99,13546,sus,sus_9,9. Ich fühlte mich bei der Benutzung des Systems sehr sicher.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher zu,0,,
100,13545,sus,sus_8,8. Ich empfand das System als sehr umständlich zu nutzen.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher nicht zu,0,,
101,13544,sus,sus_7,"7. Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit dem System sehr schnell lernen.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft zu,0,,
102,13543,sus,sus_6,"6. Ich denke, das System enthielt zu viele Inkonsistenzen.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,teils - teils,0,,
103,13542,sus,sus_5,"5. Ich fand, die verschiedenen Funktionen waren in dem System gut integriert.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft zu,0,,
104,13541,sus,sus_4,"4. Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft nicht zu,0,,
105,13540,sus,sus_3,3. Ich empfand das System als einfach zu benutzen.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher zu,0,,
106,13539,sus,sus_2,2. Ich empfand das System als unnötig komplex.,,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher nicht zu,0,,
107,13538,sus,sus_1,"1. Ich denke, dass ich das System gerne benutzen würde.",,"trifft nicht zu,trifft eher nicht zu,teils - teils,trifft eher zu,trifft zu",536,2021-09-20 18:09:29,trifft eher zu,0,,
108,13537,complexity_assessment_4,complexity_assessment_4_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:40,trifft überhaupt nicht zu,0,,
109,13536,complexity_assessment_4,complexity_assessment_4_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:40,teils-teils,0,,
110,13535,complexity_assessment_4,complexity_assessment_4_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:40,trifft eher nicht zu,0,,
111,13534,complexity_assessment_4,complexity_assessment_4_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:40,trifft eher zu,0,,
112,13533,complexity_assessment_3,complexity_assessment_3_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:17,trifft zu,0,,
113,13532,complexity_assessment_3,complexity_assessment_3_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:17,trifft eher nicht zu,0,,
114,13531,complexity_assessment_3,complexity_assessment_3_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:17,trifft eher zu,0,,
115,13530,complexity_assessment_3,complexity_assessment_3_1,Die Visualisierung kann als komplex beschrieben werden.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:08:17,trifft eher nicht zu,0,,
116,13529,complexity_assessment_2,complexity_assessment_2_4,Die Visualisierung erscheint mir intuitiv.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:07:52,teils-teils,0,,
117,13528,complexity_assessment_2,complexity_assessment_2_3,Die Visualisierung ist überfordernd.,,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:07:52,trifft eher nicht zu,0,,
118,13527,complexity_assessment_2,complexity_assessment_2_2,"Die Visualisierung hat eine logische Struktur, der leicht zu folgen ist.",,"trifft überhaupt nicht zu,trifft nicht zu,trifft eher nicht zu,teils-teils,trifft eher zu,trifft zu,trifft vollkommen zu",542,2021-09-20 18:07:52,trifft zu,0,,
