,id,participant,question,answer,type,created,tree
19,1614,529,Was hat dir am wenigsten am Zielsystem gefallen?,"Brainstorming fühlte sich unabgeschlossen an, mir ist aber nichts weiteres eingefallen. Hilfeleistung wäre cool, aber natürlich schwer umzusetzen, da die Aufgabe ja sehr persönlich ist",goalsystem_questions,2021-09-20 10:36:33,
20,1613,529,Was hat dir besonders an dem Zielsystem gefallen?,"Hierarchische Denkmuster zu verwenden, Aufgaben aufzuteilen, Schnell die Essenz/den Inhalteiner Aufgabe zu finden",goalsystem_questions,2021-09-20 10:36:33,
21,1612,521,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",3,ranking,2021-09-15 11:06:31,
22,1611,521,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-09-15 11:06:31,
23,1610,521,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",1,ranking,2021-09-15 11:06:31,
24,1609,521,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-09-15 11:06:31,
25,1608,521,Weitere Anmerkungen zu dem Zielsystem?,"Auf unterster Ebene würde vllt eine Todo-Liste sinnvoll sein. Je nach Hierarchieebene könnte die Schrift unterschiedlich groß sein. Vllt würde auch eine Farbliche Gestaltung helfen zur Strukturiung. Zb, dass recht große Teilziele und ihre Unterziele in der gleichen Farbe sind.

",goalsystem_questions,2021-09-15 11:01:28,
26,1607,521,Was hat dir am wenigsten am Zielsystem gefallen?,"Ich wollte nachträglich ein Ziel als Zwischenebene einfügen. Sprich Ziel A hat drei Kind-Element. Bekommt ein weiteres Kinde-Element B. Ich konnte die drei Kind-Elemente aber nicht dem neuen Ziel B zuordnen. Also musste ich die drei Kinder löschen und neu unter B anlegen.

Für mich ergibt es nicht unbedingt Sinn, dass Ziele auf einer Ebene z.T. waagerecht und z.T. senkrecht sind. Wirkt irgendwie unordentlich/unsortiert. Kein einheitlicher Lesefluss. Da hätte ich lieber leere Flächen.

Wenn man viele Ziele erstellt hat, wird die Drop-Down Liste sehr voll. Vllt könnte man da noch mehr Struktur reinbringen statt einer alphabetischen Liste",goalsystem_questions,2021-09-15 11:01:28,
27,1606,521,Was hat dir besonders an dem Zielsystem gefallen?,"An sich finde ich die Idee ganz gut sich seiner langfristigen und großen Ziele bewusst zu werden und sie in immer kleinere Teilziele und letztlich machbare Arbeitspakete zu unterteilen. Die Visualisierung ist ganz ok. Funktioniert an sich ganz gut, hat aber auch noch Potenzial zur Verbesserung",goalsystem_questions,2021-09-15 11:01:28,
37,1596,496,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",4,ranking,2021-09-09 10:42:35,
38,1595,496,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",3,ranking,2021-09-09 10:42:35,
39,1594,496,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",2,ranking,2021-09-09 10:42:35,
40,1593,496,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",1,ranking,2021-09-09 10:42:35,
41,1592,496,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-09-09 10:41:42,
42,1591,496,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-09-09 10:41:42,
43,1590,496,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-09-09 10:41:42,
44,1589,484,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",3,ranking,2021-09-07 18:15:34,
45,1588,484,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-09-07 18:15:34,
46,1587,484,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",4,ranking,2021-09-07 18:15:34,
47,1586,484,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",1,ranking,2021-09-07 18:15:34,
48,1585,484,Weitere Anmerkungen zu dem Zielsystem?,Es wäre visuell nett wenn man die Flächen einfärben könnte,goalsystem_questions,2021-09-07 18:14:49,
49,1584,484,Was hat dir am wenigsten am Zielsystem gefallen?,Nix,goalsystem_questions,2021-09-07 18:14:49,
50,1583,484,Was hat dir besonders an dem Zielsystem gefallen?,Sehr intuitiv und einfach zu benutzen,goalsystem_questions,2021-09-07 18:14:49,
53,1580,477,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-09-04 18:53:39,
54,1579,477,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-09-04 18:53:39,
55,1578,477,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",4,ranking,2021-09-04 18:53:39,
56,1577,477,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",3,ranking,2021-09-04 18:53:39,
57,1576,477,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-09-04 18:52:58,
58,1575,477,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-09-04 18:52:58,
59,1574,477,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-09-04 18:52:58,
60,1573,472,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",4,ranking,2021-09-03 13:38:08,
61,1572,472,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-09-03 13:38:07,
62,1571,472,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",3,ranking,2021-09-03 13:38:07,
63,1570,472,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",1,ranking,2021-09-03 13:38:07,
64,1569,472,Weitere Anmerkungen zu dem Zielsystem?,"Das Lineare empfand ich anfangs besser.
Das Kreismodell ist eine erfrischend andere Sichtweise",goalsystem_questions,2021-09-03 13:36:48,
65,1568,472,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-09-03 13:36:48,
66,1567,472,Was hat dir besonders an dem Zielsystem gefallen?,Logische Herangehensweise ,goalsystem_questions,2021-09-03 13:36:48,
67,1566,460,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-08-31 20:45:17,
68,1565,460,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-08-31 20:45:17,
69,1564,460,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",3,ranking,2021-08-31 20:45:17,
70,1563,460,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-08-31 20:45:17,
71,1562,460,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-31 20:43:26,
72,1561,460,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-08-31 20:43:26,
73,1560,460,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-08-31 20:43:26,
74,1559,453,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-08-31 14:19:55,
75,1558,453,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-08-31 14:19:55,
76,1557,453,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",3,ranking,2021-08-31 14:19:55,
77,1556,453,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-08-31 14:19:55,
78,1555,453,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-31 14:18:53,
79,1554,453,Was hat dir am wenigsten am Zielsystem gefallen?,"Es ist schwierig, das gesamte Ziel eigenständig sinnvoll aufzuteilen, außerdem sind die nötigen Schritte einem ja quasi schon bewusst, man hat aber keine einheitliche Lösung zur effizienten Umsetzung.",goalsystem_questions,2021-08-31 14:18:53,
80,1553,453,Was hat dir besonders an dem Zielsystem gefallen?,"Die Visualisierung der Ziele und das Aufbrechen in Unterkategorien, dadurch war das große Ziel nicht mehr so schwammig und unkonkret",goalsystem_questions,2021-08-31 14:18:53,
81,1552,450,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-08-31 11:31:08,
82,1551,450,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-08-31 11:31:08,
83,1550,450,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",3,ranking,2021-08-31 11:31:08,
84,1549,450,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-08-31 11:31:08,
85,1548,450,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-31 11:30:41,
86,1547,450,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-08-31 11:30:41,
87,1546,450,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-08-31 11:30:41,
88,1545,433,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",3,ranking,2021-08-25 17:33:20,
89,1544,433,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-08-25 17:33:20,
90,1543,433,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",1,ranking,2021-08-25 17:33:20,
91,1542,433,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-08-25 17:33:20,
92,1541,433,Weitere Anmerkungen zu dem Zielsystem?,"Es ist schwierig, die Vielseitigkeit der Arbeitsanforderungen eines Studiums in einer festen Organisationsstruktur zu berücksichtigen.",goalsystem_questions,2021-08-25 17:32:29,
93,1540,433,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-08-25 17:32:29,
94,1539,433,Was hat dir besonders an dem Zielsystem gefallen?,Die Top-Down Struktur.,goalsystem_questions,2021-08-25 17:32:29,
95,1538,431,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",3,ranking,2021-08-25 17:03:29,
96,1537,431,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-08-25 17:03:29,
97,1536,431,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",1,ranking,2021-08-25 17:03:29,
98,1535,431,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",4,ranking,2021-08-25 17:03:29,
99,1534,431,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-25 17:03:13,
100,1533,431,Was hat dir am wenigsten am Zielsystem gefallen?,die Unnötigkeit dessen. Wieso nicht einfach To-Do-Listen mit ausführenden Stichpunkten?,goalsystem_questions,2021-08-25 17:03:13,
101,1532,431,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-08-25 17:03:13,
102,1531,424,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-24 08:44:44,
103,1530,424,Was hat dir am wenigsten am Zielsystem gefallen?,Beschreibung ,goalsystem_questions,2021-08-24 08:44:44,
104,1529,424,Was hat dir besonders an dem Zielsystem gefallen?,Es ist einfach ,goalsystem_questions,2021-08-24 08:44:44,
105,1528,424,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-24 08:44:40,
106,1527,424,Was hat dir am wenigsten am Zielsystem gefallen?,Beschreibung ,goalsystem_questions,2021-08-24 08:44:40,
107,1526,424,Was hat dir besonders an dem Zielsystem gefallen?,Es ist einfach ,goalsystem_questions,2021-08-24 08:44:40,
108,1525,421,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-08-23 15:23:23,
109,1524,421,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-08-23 15:23:23,
110,1523,421,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",4,ranking,2021-08-23 15:23:23,
111,1522,421,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",3,ranking,2021-08-23 15:23:23,
112,1521,421,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-23 15:22:48,
113,1520,421,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-08-23 15:22:48,
114,1519,421,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-08-23 15:22:48,
115,1518,420,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",2,ranking,2021-08-23 14:57:28,
116,1517,420,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",1,ranking,2021-08-23 14:57:28,
117,1516,420,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",4,ranking,2021-08-23 14:57:28,
118,1515,420,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",3,ranking,2021-08-23 14:57:28,
119,1514,420,Weitere Anmerkungen zu dem Zielsystem?,,goalsystem_questions,2021-08-23 14:50:31,
120,1513,420,Was hat dir am wenigsten am Zielsystem gefallen?,,goalsystem_questions,2021-08-23 14:50:31,
121,1512,420,Was hat dir besonders an dem Zielsystem gefallen?,,goalsystem_questions,2021-08-23 14:50:31,
122,1511,415,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 4",3,ranking,2021-08-23 12:45:41,
123,1510,415,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 3",2,ranking,2021-08-23 12:45:41,
124,1509,415,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 2",4,ranking,2021-08-23 12:45:41,
125,1508,415,"Bitte betrachte nun dein persönliches Zielsystem in verschiedenen Visualisierungen. Anschließend kannst Du die verschiedenen Visualisierungen gemäß deiner Präferenz, diese zu nutzen, anordnen. (1 – am stärksten präferiert bis 4 – am wenigsten präferiert), condition: 1",1,ranking,2021-08-23 12:45:41,
