,id,age,gender,semester,subject,degree,created,finished,condition,study,study_sequence_position,additional_data,screen_size,operating_system,browser_language,siddata_user_id
146,421,20.0,female,2.0,Cognitive Science,,2021-08-23 15:08:44,2021-08-23 15:23:23,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",1368x912,Win32,de-DE,
147,420,,,,,,2021-08-23 14:23:03,2021-08-23 14:57:28,1,3,15.0,{'studytool_used': 'no'},1000x900,Linux x86_64,en-US,
148,419,,,,,,2021-08-23 14:17:45,,4,3,2.0,,,,,
149,418,,,,,,2021-08-23 14:17:25,,3,3,2.0,,,,,
152,415,20.0,male,2.0,Cognitive Science,,2021-08-23 12:25:24,2021-08-23 12:45:41,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.'}",1920x1080,Win32,de,
153,414,,,,,,2021-08-23 12:22:56,,3,3,2.0,,,,,
154,413,,,,,,2021-08-23 12:20:26,,2,3,1.0,,,,,
155,412,,,,,,2021-08-23 11:18:03,,1,3,1.0,,,,,
156,411,24.0,female,2.0,Cognitive Science,,2021-08-23 10:54:59,2021-08-23 11:14:41,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1500x1000,Win32,de-DE,
157,410,,,,,,2021-08-23 10:52:20,,3,3,2.0,,,,,
158,409,,,,,,2021-08-23 10:45:33,,2,3,0.0,,,,,
159,408,,,,,,2021-08-23 08:48:58,,1,3,0.0,,,,,
160,407,24.0,male,5.0,Politik,,2021-08-23 08:46:48,2021-08-23 09:15:05,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1600x900,Win32,de,
161,406,,,,,,2021-08-23 08:44:01,,3,3,2.0,,,,,
162,405,,,,,,2021-08-23 08:05:38,,2,3,2.0,,,,,
163,404,,,,,,2021-08-23 07:47:08,,1,3,1.0,,,,,
165,402,,,,,,2021-08-22 11:39:22,,3,3,0.0,,,,,
166,401,20.0,male,4.0,Architektur,,2021-08-22 10:48:45,2021-08-22 11:08:33,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",414x896,iPhone,de-de,
167,400,,,,,,2021-08-22 10:47:45,,1,3,2.0,,,,,
168,399,,,,,,2021-08-21 11:50:31,,4,3,0.0,,,,,
172,395,,,,,,2021-08-20 10:58:58,,4,3,0.0,,,,,
174,393,23.0,female,4.0,Cognitive Science,,2021-08-19 17:08:09,2021-08-19 17:38:28,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",1280x800,MacIntel,de-de,
175,392,,,,,,2021-08-19 17:03:55,,1,3,2.0,,,,,
176,391,24.0,male,2.0,Maschinenbau,,2021-08-19 15:07:54,2021-08-19 15:26:14,4,3,15.0,"{'studytool_name': 'Excel/Word', 'studytool_used': 'yes', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de,
177,390,,,,,,2021-08-19 15:04:12,,3,3,2.0,,,,,
179,388,24.0,female,2.0,Psychologie,,2021-08-19 13:26:25,2021-08-19 13:39:11,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de-DE,
180,387,,,,,,2021-08-19 13:24:38,,4,3,2.0,,,,,
182,385,,,,,,2021-08-18 17:54:19,,2,3,1.0,,,,,
183,384,,,,,,2021-08-18 17:25:32,,1,3,0.0,,,,,
190,377,23.0,female,9.0,Psychologie,,2021-08-18 08:03:36,2021-08-18 08:11:08,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,de-de,
191,376,,,,,,2021-08-18 08:03:10,,1,3,2.0,,,,,
193,374,24.0,male,9.0,Maschinenbau,,2021-08-17 19:03:16,2021-08-17 19:16:21,3,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",393x851,Linux armv8l,de,
194,373,,,,,,2021-08-17 19:02:35,,2,3,2.0,,,,,
195,372,,,,,,2021-08-17 16:24:37,,1,3,0.0,,,,,
196,371,21.0,female,5.0,Psychologie,,2021-08-17 15:35:26,2021-08-17 15:48:10,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de-DE,
197,370,,,,,,2021-08-17 15:33:00,,3,3,2.0,,,,,
198,369,24.0,female,10.0,"Psychologie, Medizin",,2021-08-17 15:05:19,,2,3,13.0,"{'studytool_used': 'no', 'consulting_form': 'Doppelimmatrikulation', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'yes'}",1536x864,Win32,de,
199,368,,,,,,2021-08-17 15:04:02,,1,3,2.0,,,,,
203,364,23.0,female,6.0,Cognitive Science,,2021-08-17 07:21:41,2021-08-17 07:37:50,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1200,Win32,de,
204,363,,,,,,2021-08-17 07:20:20,,4,3,2.0,,,,,
205,362,22.0,female,4.0,Betriebswirtschaftslehre,,2021-08-16 19:05:38,2021-08-16 19:29:01,3,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de,
206,361,,,,,,2021-08-16 19:02:43,,2,3,2.0,,,,,
207,360,,,,,,2021-08-16 16:03:29,,1,3,0.0,,,,,
209,358,,,,,,2021-08-16 12:13:43,,3,3,0.0,,,,,
210,357,19.0,female,2.0,Cognitive Science,,2021-08-16 09:44:40,2021-08-16 10:02:44,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de,
211,356,,,,,,2021-08-16 09:43:55,,1,3,2.0,,,,,
212,355,,,,,,2021-08-16 09:13:50,,4,3,0.0,,,,,
215,352,,,,,,2021-08-16 09:08:47,,1,3,0.0,,,,,
217,350,,,,,,2021-08-16 08:37:51,,3,3,0.0,,,,,
218,349,21.0,female,2.0,Psychologie,,2021-08-16 08:34:27,,2,3,3.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de-DE,
219,348,,,,,,2021-08-16 08:22:41,,1,3,2.0,,,,,
220,347,26.0,female,11.0,Betriebswirtschaftslehre,,2021-08-16 07:38:50,,4,3,4.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",414x736,iPhone,en-gb,
221,346,,,,,,2021-08-16 07:37:35,,3,3,2.0,,,,,
222,345,26.0,female,12.0,,,2021-08-16 07:08:54,2021-08-16 07:31:19,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.'}",360x740,Linux armv8l,de-DE,
223,344,,,,,,2021-08-16 07:07:09,,1,3,2.0,,,,,
228,339,23.0,male,6.0,Cognitive Science,,2021-08-13 14:39:38,2021-08-13 14:59:12,4,3,15.0,"{'studytool_name': 'Excel', 'studytool_used': 'yes', 'consulting_form': 'Cognitive Science Mentoring Team', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
229,338,,,,,,2021-08-13 14:38:15,,3,3,2.0,,,,,
230,337,,,,,,2021-08-12 14:36:11,,2,3,0.0,,,,,
233,334,21.0,female,2.0,ECTS Punkte eintragen lassen,,2021-08-12 10:58:37,,3,3,11.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",1500x1000,Win32,de-DE,
234,333,,,,,,2021-08-12 10:50:09,,2,3,2.0,,,,,
235,332,,,,,,2021-08-12 10:19:15,,1,3,0.0,,,,,
236,331,,,,,,2021-08-12 08:33:10,,4,3,0.0,,,,,
237,330,21.0,female,4.0,Cognitive Science,,2021-08-12 07:20:50,2021-08-12 07:30:24,3,3,15.0,"{'studytool_used': 'no', 'consulting_form': 'mentoren', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1368x912,Win32,de,
238,329,,,,,,2021-08-12 07:18:42,,2,3,2.0,,,,,
239,328,,,,,,2021-08-12 07:05:06,,1,3,0.0,,,,,
240,327,,,,,,2021-08-11 15:27:01,,4,3,0.0,,,,,
241,326,,,,,,2021-08-11 14:57:39,,3,3,0.0,,,,,
242,325,,,,,,2021-08-11 11:15:41,,2,3,0.0,,,,,
243,324,,,,,,2021-08-11 11:03:42,,1,3,0.0,,,,,
244,323,26.0,male,4.0,cognitive science,,2021-08-11 10:39:12,2021-08-11 10:53:12,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",2048x1152,Win32,de-DE,
245,322,,,,,,2021-08-11 10:38:20,,3,3,2.0,,,,,
246,321,,,,,,2021-08-11 10:37:02,,2,3,0.0,,,,,
247,320,,,,,,2021-08-11 08:30:36,,1,3,0.0,,,,,
248,319,,,,,,2021-08-11 08:24:37,,4,3,0.0,,,,,
249,318,,,,,,2021-08-11 08:24:19,,3,3,3.0,{},1280x800,MacIntel,de-de,
250,317,,,,,,2021-08-11 08:24:12,,2,3,2.0,,,,,
251,316,,,,,,2021-08-11 08:23:56,,1,3,1.0,,,,,
252,315,28.0,others,14.0,Informatik,,2021-08-11 08:08:41,,4,3,3.0,"{'studytool_name': 'spam (study planning tool for cogscis)', 'studytool_used': 'yes', 'consulting_form': 'Mentoring Team', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1280x1024,Win32,de,
253,314,,,,,,2021-08-11 08:07:21,,3,3,2.0,,,,,
254,313,,,,,,2021-08-11 07:55:41,,2,3,0.0,,,,,
255,312,,,,,,2021-08-11 07:52:33,,1,3,1.0,,,,,
256,311,,,,,,2021-08-11 07:40:53,,4,3,0.0,,,,,
258,309,21.0,male,6.0,Psychologie,,2021-08-10 10:42:46,2021-08-10 10:58:36,2,3,15.0,"{'studytool_name': 'Stud.ip', 'studytool_used': 'yes', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,de-DE,
259,308,,,,,,2021-08-10 10:41:23,,1,3,2.0,,,,,
260,307,24.0,male,8.0,Cogntive Science,,2021-08-10 09:26:17,2021-08-10 09:40:30,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",3440x1440,Win32,en-US,
261,306,,,,,,2021-08-10 08:52:09,,3,3,2.0,,,,,
266,301,,,,,,2021-08-09 18:03:00,,2,3,2.0,,,,,
267,300,22.0,female,3.0,Psychologie ,,2021-08-09 15:21:39,2021-08-09 17:21:46,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
268,299,,,,,,2021-08-09 13:19:51,,4,3,2.0,,,,,
271,296,,,,,,2021-08-09 11:36:45,,1,3,1.0,,,,,
274,293,,,,,,2021-08-09 08:29:53,,2,3,0.0,,,,,
275,292,,,,,,2021-08-08 22:30:29,,1,3,0.0,,,,,
276,291,,,,,,2021-08-08 17:41:46,,4,3,0.0,,,,,
277,290,21.0,female,3.0,Ergotherapie,,2021-08-08 17:18:14,,3,3,11.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",320x568,iPhone,en-us,
278,289,,,,,,2021-08-08 17:16:54,,2,3,2.0,,,,,
279,288,,,,,,2021-08-08 15:22:01,,1,3,0.0,,,,,
280,287,,,,,,2021-08-08 14:51:05,,4,3,0.0,,,,,
281,286,19.0,female,3.0,Cognitive Science,,2021-08-08 14:42:10,2021-08-08 15:03:22,3,3,15.0,"{'studytool_name': 'Notizbuch', 'studytool_used': 'yes', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,en-GB,
282,285,,,,,,2021-08-08 14:40:58,,2,3,2.0,,,,,
283,284,,,,,,2021-08-08 14:24:20,,1,3,0.0,,,,,
284,283,21.0,female,2.0,Anglistik und katholische Theologie,,2021-08-08 14:22:28,2021-08-08 14:31:49,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",414x896,iPhone,de-de,
285,282,,,,,,2021-08-08 14:20:29,,3,3,2.0,,,,,
286,281,21.0,female,2.0,Lehramt,,2021-08-08 14:03:35,2021-08-08 14:16:19,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de,
287,280,,,,,,2021-08-08 14:02:10,,1,3,2.0,,,,,
288,279,,,,,,2021-08-08 14:01:52,,4,3,0.0,,,,,
291,276,20.0,female,5.0,Psychologie,,2021-08-08 10:36:05,2021-08-08 10:58:29,1,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
292,275,,,,,,2021-08-08 10:34:38,,4,3,2.0,,,,,
293,274,25.0,male,6.0,Maschinenbau,,2021-08-08 09:35:50,2021-08-08 10:01:24,3,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de,
294,273,,,,,,2021-08-08 09:33:00,,2,3,2.0,,,,,
295,272,,,,,,2021-08-07 16:54:52,,1,3,0.0,,,,,
296,271,,,,,,2021-08-07 08:41:39,,4,3,0.0,,,,,
298,269,,,,,,2021-08-06 19:47:45,,2,3,0.0,,,,,
301,266,,,,,,2021-08-06 18:39:35,,3,3,0.0,,,,,
304,263,39.0,female,8.0,Psychologie,,2021-08-06 17:36:05,2021-08-06 18:16:30,4,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de,
305,262,,,,,,2021-08-06 16:21:15,,3,3,2.0,,,,,
306,261,22.0,female,6.0,Pflege dual,,2021-08-06 14:38:31,2021-08-06 14:56:32,2,3,15.0,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
307,260,,,,,,2021-08-06 14:37:07,,1,3,2.0,,,,,
309,258,,,,,,2021-08-06 09:15:37,,3,3,2.0,,,,,
311,256,23.0,female,2.0,Psychologie,,2021-08-06 07:18:55,2021-08-06 07:54:29,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1280x720,Win32,de,
312,255,25.0,male,4.0,Psychologie,,2021-08-05 15:08:33,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Win32,de,
313,254,21.0,male,2.0,Kognitive Wissenschaft,,2021-08-05 11:36:21,2021-08-05 12:00:01,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,en,
